Mutavault,503
Thoughtseize,372
Doom Blade,329
Revoke Existence,237
Temple of Silence,236
Mizzium Mortars,233
Devour Flesh,232
Hero's Downfall,226
"Jace, Architect of Thought",225
Duress,225
Lifebane Zombie,218
Ultimate Price,216
Bile Blight,211
"Elspeth, Sun's Champion",210
Underworld Connections,205
Negate,192
Detention Sphere,190
Nightveil Specter,190
Dark Betrayal,188
Temple of Deceit,187
Desecration Demon,186
Hallowed Fountain,185
Temple of Enlightenment,181
"Erebos, God of the Dead",178
Dissolve,174
